Population density,Distance to street,Rainfall,Temperature,Wind speed,Wind direction,Distance to industrial,Humidity,Elevation,Traffic volume,Land surface temperature (LST),Normalized difference vegetation index (NDVI),Distance to transportation,PM2.5
0,60,236.498,17.5619,2.97006,243.842,0,35.3118,1166,3122.472301,61.3129,0.00579858,50,1
39.4752,120,236.032,17.5634,2.98039,243.573,0,35.2655,1165,782.1513827,60.8916,0.0770084,110,1
0,30,238.327,17.5449,2.9455,243.573,30,35.4067,1152,1544.116839,61.0724,0.0446773,101.9803925,1
197.91,0,238.69,17.5443,2.93581,243.982,94.8683,35.4599,1157,780.3225305,59.9478,0.0333936,125.2996445,1
0,30,239.25,17.5436,2.92143,244.497,30,35.5301,1161,601.3034994,60.7177,0.0599289,748.4650879,1
3.06265,240,241.186,17.5327,2.88368,245.318,90,35.7114,1156,0,61.1203,0.0678465,902.5519409,1
0,300,241.406,17.5267,2.88561,244.924,0,35.7018,1150,0,60.9224,0.195752,430.116272,1
0,90,241.882,17.518,2.88534,244.346,0,35.6916,1142,0,60.8675,0.0683199,108.1665421,1
1.09729,0,241.504,17.5188,2.89621,243.79,42.4264,35.6224,1144,0,60.804,-0.0110825,322.4902954,1
455.399,0,287.912,17.1583,2.25888,234.181,300,37.4857,1144,0,59.902,0.0614191,353.8361206,1
416.641,84.8528,302.032,17.004,2.10669,231.218,730.548,38.0471,1138,4753.043235,60.0855,0.0479212,94.33981323,1
615.272,180,315.258,16.8182,1.99649,228.761,453.982,38.6243,1124,7.756938459,59.6858,0.037794,240.8318939,1
0,30,297.604,17.0222,2.17549,232.613,483.735,37.9343,1126,2.526327949,60.1148,0.161817,292.0616455,1
450.996,60,306.801,16.9299,2.072,230.447,939.628,38.2695,1126,2438.536891,59.8066,0.0928148,272.9468689,1
307.032,30,293.029,17.1171,2.19226,232.959,540.833,37.6702,1151,911.1130321,59.9932,0.063705,180.2775574,1
0,67.082,309.119,16.9351,2.0196,235.219,1039.66,38.4662,1434,0,59.1816,0.199891,637.024353,1
80.5755,42.4264,307.796,16.9784,2.01081,234.665,1090.78,38.3676,1429,0,59.0279,0.338351,663.0988159,1
0,30,306.467,17.0179,2.00526,234.273,1027.03,38.2768,1429,0,59.3654,0.316818,785.1751099,1
183.259,30,304.569,17.0762,1.99603,233.656,722.496,38.1424,1421,0,59.2668,0.150558,940.0531616,1
160.011,30,306.133,17.0443,1.99142,233.572,942.019,38.2198,1412,0,59.476,0.270731,611.8823242,1
70.7724,30,307.672,16.9986,1.99776,234.02,1171.54,38.3254,1419,0,59.209,0.206621,474.3416443,1
189.61,30,309.626,16.9445,2.00301,234.46,1374.12,38.4511,1424,0,59.2249,0.161013,313.209198,1
233.355,30,310.71,16.9049,2.01339,235.072,1074.15,38.5399,1427,0,59.174,0.370206,275.8622742,1
128.996,30,308.008,16.9584,2.02218,235.238,806.102,38.4102,1443,0,59.3462,0.0825204,631.3477783,1
142.103,84.8528,306.696,16.9977,2.01628,234.829,751.798,38.3199,1436,0,59.3016,0.216619,548.178833,1
0,30,304.449,17.0661,2.00573,234.115,740.945,38.1626,1429,36.89588814,59.3018,0.180073,610.3277588,1
222.991,108.167,304.573,17.0857,1.98885,233.31,676.831,38.1227,1413,0,59.1617,0.17049,878.2368774,1
242.481,60,305.21,17.0773,1.98357,233.11,752.396,38.1449,1402,0,59.2115,0.180467,782.3042603,1
0,94.8683,307.458,17.021,1.98476,233.369,1008.46,38.278,1404,0,59.1227,0.175208,474.3416443,1
151.024,60,309.031,16.9762,1.98976,233.759,1218.24,38.382,1412,548.3712492,59.1031,0.190425,212.1320343,1
0,42.4264,311.185,16.9148,1.99689,234.314,1415.1,38.5241,1416,1266.658444,59.4438,0.128597,134.1640778,1
107.174,108.167,312.463,16.873,2.00547,234.86,1233.29,38.6189,1426,394.8708326,59.2383,0.110343,111.8033981,1
153.881,42.4264,313.247,16.8364,2.01942,235.621,873.613,38.6986,1430,1404.219207,59.4818,0.0135692,304.7950134,1
0,123.693,314.283,16.8361,2.00011,234.785,1143.55,38.7085,1423,0,59.305,0.215689,424.4996948,1
145.069,150,313.005,16.8765,1.99257,234.286,1213.8,38.6168,1416,0,59.5201,0.0971828,408.0441284,1
0,0,311.615,16.9151,1.98868,233.957,1203.37,38.5273,1412,0.016480499,59.3558,0.0642081,212.1320343,1
0,0,309.62,16.9704,1.98328,233.5,1103.9,38.3987,1410,3134.809918,59.3933,0.121956,283.0194397,1
0,30,308.087,17.0163,1.9767,233.037,827.587,38.2926,1391,0,59.3075,0.20239,551.5432739,1
235.444,0,305.419,17.0874,1.97215,232.576,579.396,38.1254,1396,0,59.359,0.0993047,636.0031738,1
0,60,309.782,16.9811,1.9721,232.973,872.067,38.3783,1390,2332.080304,59.294,0.158126,474.1307983,1
132.486,42.4264,312.198,16.9146,1.97817,233.504,901.998,38.5335,1406,0,59.4911,0.0334554,331.2098999,1
179.632,123.693,315.355,16.8334,1.98196,234.011,787.464,38.7239,1406,450.3072874,59.4986,0.159758,474.2362366,1
211.588,60,316.611,16.7792,2.001,235.072,823.772,38.8424,1424,7369.737073,59.3587,0.10276,737.8346558,1
146.79,150,314.9,16.7821,2.03115,236.366,630.714,38.8205,1444,220.3411512,59.5662,0.0931941,643.8167725,1
0,60,311.048,16.8558,2.04512,236.656,570,38.6415,1453,1363.645522,59.4494,0.0789949,810.9870605,1
208.828,84.8528,306.558,16.9785,2.03321,235.639,351.141,38.3587,1458,1067.194019,59.4118,0.0580628,328.9376831,1
462.591,90,303.484,17.0828,2.01068,234.27,655.21,38.1215,1440,341.3909685,59.2435,0.133084,420.5948181,1
165.833,182.483,300.686,17.1727,1.9945,233.259,189.737,37.9146,1429,0,59.4825,0.0713524,300.6659241,1
189.961,84.8528,300.401,17.2058,1.97546,232.327,60,37.8428,1408,2342.928948,59.6946,0.0914582,770.7788086,1
260.003,0,301.795,17.1854,1.9653,231.946,516.14,37.8949,1396,3472.811461,59.3228,0.0570945,1038.701172,1
239.671,0,306.912,17.0662,1.96069,232.152,351.141,38.1808,1370,0,59.3571,0.227163,275.136322,1
357.152,30,312.121,16.9337,1.96486,232.85,553.173,38.4945,1385,0,59.5064,0.115009,223.6067963,1
0,0,314.435,16.8735,1.96806,233.24,577.062,38.6361,1390,0,59.6604,0.0823208,80.62257385,1
265.731,30,312.718,16.9333,1.954,232.381,268.328,38.5005,1370,1205.691348,59.721,0.0807539,430.4648743,1
137.194,30,304.304,17.1454,1.94927,231.371,247.386,37.9963,1374,1316.168849,59.4955,0.124771,626.418396,1
0,0,295.856,17.3331,1.96404,231.473,785.175,37.5446,1421,0,59.57,0.23331,445.5333862,1
342.867,120,297.989,17.244,1.99054,232.865,540.833,37.7476,1442,892.9007655,59.2204,0.32706,221.359436,1
17.0295,60,300.011,17.1642,2.01262,234.071,865.852,37.9294,1470,1.042889972,59.6479,0.434262,252.9822083,1
0,84.8528,304.655,17.0223,2.03458,235.531,67.082,38.2558,1470,0,59.332,0.101922,329.8484497,1
168.068,134.164,307.184,16.9434,2.04839,236.439,331.361,38.4357,1485,0,59.2712,0.209246,436.0045776,1
39.9622,67.082,315.95,16.7742,2.01753,235.81,882.326,38.8457,1434,0,59.3153,0.0684402,590.3388672,1
254.673,67.082,308.218,17.0447,1.95279,231.887,384.187,38.2354,1367,3669.198298,59.4909,0.0600798,228.03508,1
324.34,30,299.535,17.2563,1.95409,231.239,108.167,37.7301,1385,0,59.6657,0.108026,1008.067444,1
0,123.693,294.702,17.3481,1.97357,231.845,926.121,37.5065,1447,31.3270773,59.4992,0.347517,642.0280151,1
283.814,180,296.206,17.2853,1.99205,232.806,774.209,37.6497,1470,227.3601147,59.6291,0.056099,471.6990662,1
21.9085,30,298.575,17.1979,2.01332,233.989,960.469,37.8499,1475,10289.34261,59.4638,0.0729912,156.2049866,1
187.009,60,302.594,17.0712,2.03494,235.364,550.727,38.1414,1510,7288.875882,59.6193,0.0752084,72.80110168,1
0,94.8683,296.489,17.2508,2.0116,233.743,496.588,37.7263,1553,0,59.5882,0.0800454,412.3105774,1
0,84.8528,292.896,17.3873,1.97713,231.894,351.141,37.4133,1510,1379.469047,59.5708,0.018222,130.3840485,1
91.3099,108.167,294.53,17.3288,1.9902,232.602,349.857,37.5479,1518,11026.79504,59.8935,0.242994,303.6445313,1
242.519,30,253.005,17.5194,2.67154,239.892,483.735,35.9123,1201,0,60.3007,0.087377,611.8823242,1
78.9787,182.483,254.638,17.5071,2.6482,239.608,342.053,35.9848,1197,0,60.3835,0.045278,345.3983154,1
7.71446,848.528,241.006,17.5583,2.86035,246.95,953.415,35.7636,1194,0,61.1753,0.181373,860.5230713,1
0,641.327,245.739,17.5456,2.74598,251.193,67.082,36.3741,1170,0,61.1103,0.133973,841.4867554,1
647.97,60,248.855,17.4499,2.78855,244.189,90,36.1338,1132,92.69385249,59.795,0.0307571,203.9607849,1
618.916,84.8528,256.365,17.3851,2.69653,241.671,150,36.3469,1128,0,60.0009,0.0633179,433.2435913,1
0,120,278.865,17.1942,2.4031,236.892,180,37.2343,1127,0,59.8383,0.0473415,331.0588989,1
0,42.4264,238.297,17.5658,2.93674,242.386,296.985,35.2852,1192,0,60.8858,0.153136,193.1320801,1
4.35912,480,230.335,17.5993,3.0776,243.006,891.964,34.8881,1194,0,61.3447,0.0121039,542.3098755,1
4.35912,1281.6,234.638,17.5784,2.99755,243.795,870.517,35.1874,1192,0,61.7099,0.111356,1274.754883,1
0,210,245.385,17.5175,2.78763,248.527,30,36.2174,1151,19.57548906,60.1015,0.0263837,220.9072266,1
0,375.899,246.664,17.4791,2.80231,245.961,426.38,36.1439,1134,0,60.6027,0.149275,559.0169678,1
0,174.929,348.916,16.3534,1.69851,222.105,30,40.1528,1089,1.035843541,60.6724,0.0221919,1046.947998,1
0,161.555,325.741,16.5305,1.94724,229.896,429.535,39.8513,1057,57.33581617,60.6396,0.214715,178.0449371,1
476.529,90,333.248,16.443,1.87212,227.86,814.985,40.112,1058,1.864910522,59.9201,0.0132841,224.7220459,1
0,30,330.73,16.5341,1.88676,227.414,150,39.6594,1084,15029.47122,60.2924,0.328358,390.5124817,1
0,90,339.58,16.4152,1.80198,225.448,400.25,40.0689,1070,0,60.0603,0.0931486,344.0930176,1
0,0,309.336,16.7848,2.1027,232.581,846.936,38.8362,1095,7276.40105,60.1731,0.0425839,926.336853,1
